466,BASS_1 ,19,BASS FLANG 
467,BASS_1 ,20,BASSLEGEND 
468,BASS_1 ,21,BASSMAGIC 
469,BASS_1 ,22,CLEAN BASS 
470,BASS_1 ,23,COMPED EB 
471,BASS_1 ,24,DIGI-BASS 
472,BASS_1 ,25,DOCTOR B. 
473,BASS_1 ,26,DON'T FRET 
474,BASS_1 ,27,EASYACTION 
475,BASS_1 ,28,EP-BASS SP 
476,BASS_1 ,29,EXCITE 
477,BASS_1 ,30,FATMAN 
478,BASS_1 ,31,GS BASS 
479,BASS_1 ,32,HARDFINGER 
480,BASS_2 ,1,SYN.BASS 1 
481,BASS_2 ,2,SYN.BASS 2 
482,BASS_2 ,3,SYN.BASS 3 
483,BASS_2 ,4,SYN.BASS 4 
484,BASS_2 ,5,SYN.BASS 5 
485,BASS_2 ,6,SYN.BASS 6 
486,BASS_2 ,7,SYN.BASS 9 
487,BASS_2 ,8,SYN-BASS 1 
488,BASS_2 ,9,SYN-BASS 2 
489,BASS_2 ,10,SYN-BASSDK 
490,BASS_2 ,11,SYNTH BASS 
491,BASS_2 ,12,FUNK BASS1 
492,BASS_2 ,13,FUNK BASS2 
493,BASS_2 ,14,FUNK BASS3 
494,BASS_2 ,15,FUNK BAS1 
495,BASS_2 ,16,FUNK BASS 
496,BASS_2 ,17,W.BASS 1 
497,BASS_2 ,18,W.BASS 2 
498,BASS_2 ,19,W.BASS 3 
499,BASS_2 ,20,W.BASS 4 
500,BASS_2 ,21,BASS 1 
501,BASS_2 ,22,BASS 2 
502,BASS_2 ,23,BASS 3 
503,BASS_2 ,24,E.BASS 1 
504,BASS_2 ,25,E.BASS 2 
505,BASS_2 ,26,E.BASS 3 
506,BASS_2 ,27,E.BASS 4 
507,BASS_2 ,28,E.BASS 5 
508,BASS_2 ,29,FRETLESS 1 
509,BASS_2 ,30,FRETLESS 2 
510,BASS_2 ,31,FRETLES 1A 
511,BASS_2 ,32,FRETLES 2A 
512,BASS_3 ,1,HARM BASS 
513,BASS_3 ,2,INORGANIC 
514,BASS_3 ,3,LIKE JACO 
515,BASS_3 ,4,METABASS 2 
516,BASS_3 ,5,METAL BASS 
517,BASS_3 ,6,OBER BASS 
518,BASS_3 ,7,PICK BASS 
519,BASS_3 ,8,PLUCK BASS 
520,BASS_3 ,9,PLUCK-BASS 
521,BASS_3 ,10,PWM BASS 
522,BASS_3 ,11,RAUNCHBASS 
523,BASS_3 ,12,REMARK 
524,BASS_3 ,13,RM BASS 
525,BASS_3 ,14,RM BASSYES 
526,BASS_3 ,15,RM BSDOINK 
527,BASS_3 ,16,ROUNDWOUND 
528,BASS_3 ,17,STING 
529,BASS_3 ,18,SUPER BASS 
530,BASS_3 ,19,SYNBS TIME 
531,BASS_3 ,20,THUMB-BASS 
532,BASS_3 ,21,VIOLENT 
533,BASS_3 ,22,WILLS BASS 
534,BASS_3 ,23,WOOD BASS 
535,BASS_3 ,24,YOU MADE 
536,BASS_3 ,25,BASS WORK 
537,BASS_3 ,26,BASS-COMP. 
538,BASS_3 ,27,BASS-SYNTH 
539,BASS_3 ,28,BASS1EDBOW 
540,BASS_3 ,29,SLAP BASS 
541,BASS_3 ,30,SLAP BASS1 
542,BASS_3 ,31,SMOTH BASS 
543,BASS_3 ,32,BASS PIANO 
544,BBANK3 ,1,AC.PNO 1.1 
545,BBANK3 ,2,A.PNO 17.1 
546,BBANK3 ,3,AC.PNO 1.2 
